,Image,F1,Jaccard,Recall,Precision
0,833.png,0.9193548387096774,0.8507462686567164,0.8665540540540541,0.9790076335877863
1,2069.png,0.8073701842546064,0.6769662921348315,1.0,0.6769662921348315
2,3038.png,0.712,0.5527950310559007,0.6711915535444947,0.75809199318569
3,1169.png,0.9526431718061674,0.9095688748685594,0.9143763213530656,0.9942528735632183
4,501.png,0.9416224412433661,0.8896848137535817,0.8986975397973951,0.9888535031847133
5,31.png,0.9513415188722146,0.9071986123156982,0.9095652173913044,0.9971401334604385
6,2242.png,0.9140625,0.841726618705036,0.9448931116389548,0.8851802403204272
7,1014.png,0.9263157894736842,0.8627450980392157,0.8927536231884058,0.9625
8,1322.png,0.7473903966597077,0.5966666666666667,0.9086294416243654,0.6347517730496454
9,1779.png,0.8871695680206318,0.7972190034762456,0.8854568854568855,0.8888888888888888
10,1217.png,0.8730434782608696,0.7746913580246914,0.7746913580246914,1.0
11,1956.png,0.8595578673602081,0.7537058152793614,0.7537058152793614,1.0
12,108.png,0.943516699410609,0.893072989307299,0.8947368421052632,0.9979220779220779
13,1258.png,0.9407783417935702,0.8881789137380192,0.8938906752411575,0.9928571428571429
14,571.png,0.9517766497461929,0.9079903147699758,0.9079903147699758,1.0
15,1888.png,0.7534039334341907,0.6043689320388349,0.6622340425531915,0.8736842105263158
16,35.png,0.12949640287769784,0.06923076923076923,0.06923076923076923,1.0
17,2162.png,0.8566712517193947,0.7492781520692974,0.932893948472139,0.7919633774160733
18,2582.png,0.9655489205328434,0.933392539964476,0.9813258636788048,0.9502712477396021
19,1279.png,0.015082956259426848,0.007598784194528876,0.007598784194528876,1.0
20,749.png,0.8781417923383602,0.7827564894932015,0.9271595900439239,0.8340467566677643
21,2122.png,0.0,0.0,0.0,0.0
22,2928.png,0.8579897601724602,0.7512977819726286,0.9875930521091811,0.7584564078132444
23,74.png,0.9694419030192132,0.9406960227272727,0.9767699115044248,0.9622230294224482
24,788.png,0.8647012371676757,0.7616508230929747,0.7702227432590856,0.9855985598559855
25,707.png,0.976536312849162,0.9541484716157205,0.9608619173262972,0.9927305770104498
26,1678.png,0.9386562804284323,0.8844036697247707,0.9180952380952381,0.9601593625498008
27,909.png,0.8983496771107391,0.8154580981328702,0.8154580981328702,1.0
28,218.png,0.8389513108614233,0.7225806451612903,0.9161554192229039,0.7737478411053541
29,2046.png,0.9241280115066522,0.858957219251337,0.9055673009161381,0.9434654919236417
30,3.png,0.9666291713535808,0.9354136429608128,0.9601489757914339,0.9731974329935825
31,1270.png,0.0,0.0,0.0,0.0
32,573.png,0.9329479768786128,0.8743228602383532,0.9829476248477467,0.8877887788778878
33,861.png,0.5644941368966457,0.3932370820668693,0.39511357129223135,0.9880668257756563
34,2463.png,0.288382517743743,0.16848537756438237,1.0,0.16848537756438237
35,1326.png,0.0,0.0,0.0,0.0
36,528.png,0.9738353541799617,0.9490049751243781,0.9695044472681067,0.9782051282051282
37,461.png,0.7532051282051282,0.6041131105398457,0.6473829201101928,0.9003831417624522
38,803.png,0.7544949329846355,0.6057742782152231,0.6560545764639,0.8876923076923077
39,1392.png,0.9540126239855726,0.9120689655172414,0.9362831858407079,0.9724264705882353
40,298.png,0.1716171617161716,0.09386281588447654,0.09386281588447654,1.0
41,3005.png,0.8284518828451883,0.7071428571428572,0.8571428571428571,0.8016194331983806
42,1239.png,0.6936790923824959,0.5310173697270472,0.5310173697270472,1.0
43,2839.png,0.0,0.0,0.0,0.0
44,2605.png,0.7745865970409052,0.6321022727272727,0.9910913140311804,0.6357142857142857
45,1529.png,0.9315315315315316,0.8718381112984823,0.9521178637200737,0.9118165784832452
46,574.png,0.7945113788487282,0.6590782898389783,0.9983179142136249,0.659811006114508
47,2574.png,0.9345297441010303,0.877105427323768,0.9442578912021491,0.925
48,1702.png,0.9333333333333333,0.875,0.9607843137254902,0.9074074074074074
49,1732.png,0.84399375975039,0.7300944669365722,0.9944852941176471,0.7330623306233063
50,1266.png,0.0,0.0,0.0,0.0
51,1808.png,0.8349514563106796,0.7166666666666667,0.9772727272727273,0.7288135593220338
52,1085.png,0.6220362622036262,0.451417004048583,0.451417004048583,1.0
53,653.png,0.9774696707105719,0.9559322033898305,0.9613636363636363,0.9941245593419507
54,2791.png,0.5346756152125279,0.3648854961832061,0.3654434250764526,0.9958333333333333
55,1187.png,0.9489754921655283,0.9029051987767585,0.9029051987767585,1.0
56,2744.png,0.7974314068884997,0.6631067961165048,0.6912955465587044,0.9420689655172414
57,1023.png,0.8731208659049909,0.7748132337246532,0.7748132337246532,1.0
58,1667.png,0.8212389380530973,0.6966966966966966,0.6966966966966966,1.0
59,904.png,0.9563894523326572,0.9164237123420796,0.9947257383966245,0.9208984375
60,701.png,0.9395859738065061,0.8860557768924303,0.8860557768924303,1.0
61,381.png,0.9452166802943581,0.896124031007752,0.903125,0.9914236706689536
62,478.png,0.0,0.0,0.0,0.0
63,1354.png,0.970844377129875,0.9433406916850625,0.9712121212121212,0.9704769114307343
64,2701.png,0.9541595925297114,0.9123376623376623,0.9273927392739274,0.9825174825174825
65,1689.png,0.5503080082135524,0.37960339943342775,0.38450502152080346,0.9675090252707581
66,2672.png,0.7421907538525614,0.590066225165563,0.5922233300099701,0.9938650306748467
67,2524.png,0.35988444077589765,0.21942627075993962,0.755632582322357,0.2361863488624052
68,2026.png,0.0,0.0,0.0,0.0
69,2356.png,0.9101528946916337,0.8351197982345523,0.936373276776246,0.8853609625668449
70,527.png,0.9697542533081286,0.9412844036697248,0.9846449136276392,0.9553072625698324
71,1142.png,0.9375830013280213,0.8825,0.9644808743169399,0.9121447028423773
72,1562.png,0.6286876907426246,0.45845697329376855,0.9716981132075472,0.46466165413533833
73,1668.png,0.8810198300283286,0.7873417721518987,0.7873417721518987,1.0
74,1837.png,0.972106824925816,0.9457274826789839,0.9692307692307692,0.975
75,294.png,0.9321663019693655,0.8729508196721312,0.8729508196721312,1.0
76,2157.png,0.0,0.0,0.0,0.0
77,2528.png,0.9034298224276331,0.823868677905945,0.970726607422896,0.8448589626933576
78,2527.png,0.8134653465346534,0.6855807743658211,0.6890305266689031,0.9927501208313195
79,2075.png,0.8438022450441843,0.7298078909316257,0.7932195779074989,0.9012755102040816
80,2322.png,0.7424460431654676,0.5903890160183066,0.5903890160183066,1.0
81,3034.png,0.8370210469508904,0.7197215777262181,0.7202228929649408,0.9990338164251208
82,1851.png,0.7975460122699386,0.6632653061224489,0.7647058823529411,0.8333333333333334
83,676.png,0.9587986137851366,0.9208579881656804,0.9284116331096197,0.9912420382165605
84,1818.png,0.918141592920354,0.8486707566462167,0.9161147902869757,0.9201773835920177
85,2906.png,0.0,0.0,0.0,0.0
86,1840.png,0.8690909090909091,0.7684887459807074,0.9637096774193549,0.7913907284768212
87,560.png,0.3686715707485937,0.2259946949602122,0.22659574468085106,0.988399071925754
88,1337.png,0.937246963562753,0.8819047619047619,0.9566115702479339,0.9186507936507936
89,1384.png,0.884514435695538,0.7929411764705883,0.9711815561959655,0.8120481927710843
